version;juego;plataforma;link;descripcion;destacado
v1.0;PES 2018;PS4/PS5;#;Option File actualizado a la temporada 2026 para PES 2018. Incluye las mismas ligas del parche 2025, con equipos de la Copa Libertadores edición 2026 y fichajes actualizados.;1
v1.0;PES 2018;PC;#;La versión más completa del Option File 2026 para PES 2018 en PC. Incluye plantillas actualizadas, Copa Libertadores 2026, fichajes renovados, minifaces reales en todos los jugadores, caras escaneadas, soundtrack modificado y compatibilidad con cánticos descargables aparte.;1
