player_id;jugador;posicion;media_real;media_predicha_decimal;media_predicha;error;error_decimal;formula_posicion;posicion_original;origen_calculo
103651;D. Terans;AMF;;71,49955265586136;71;;;AMF;AMF;formulas_por_posicion.json
60817;D. Valdés;AMF;;72,92950585941617;73;;;AMF;AMF;formulas_por_posicion.json
110902;Dani Olmo;AMF;;83,49359482846019;83;;;AMF;AMF;formulas_por_posicion.json
113748;De Arrascaeta;AMF;;83,20013253441975;83;;;AMF;AMF;formulas_por_posicion.json
101065;Denis Suárez;AMF;;74,2983416121553;74;;;AMF;AMF;formulas_por_posicion.json
118428;Dro Fernández;AMF;;71,34937930207721;71;;;AMF;AMF;formulas_por_posicion.json
103112;Dudu;AMF;;67,21995145521109;67;;;AMF;AMF;formulas_por_posicion.json
114304;Dzięgielewski;AMF;;62,723874155472664;63;;;AMF;AMF;formulas_por_posicion.json
118661;E. Cabrera;AMF;;69,28817402198285;69;;;AMF;AMF;formulas_por_posicion.json
61457;E. Cardona;AMF;;73,63810362037067;74;;;AMF;AMF;formulas_por_posicion.json
120357;E. Elmas;AMF;;75,54274636244486;76;;;AMF;AMF;formulas_por_posicion.json
114906;E. Eze;AMF;;83,96686941868712;84;;;AMF;AMF;formulas_por_posicion.json
114417;E. Plicco;AMF;;54,22654688531682;54;;;AMF;AMF;formulas_por_posicion.json
118164;E. Smith Rowe;AMF;;78,1421924286462;78;;;AMF;AMF;formulas_por_posicion.json
110500;Edenilson;AMF;;70,22482159900724;70;;;AMF;AMF;formulas_por_posicion.json
116049;Edu Expósito;AMF;;76,35663455610757;76;;;AMF;AMF;formulas_por_posicion.json
104374;Eduardo;AMF;;68,41627733808197;68;;;AMF;AMF;formulas_por_posicion.json
115385;F. Buonanotte;AMF;;73,41123493901611;73;;;AMF;AMF;formulas_por_posicion.json
118974;F. Cabanillas;AMF;;62,35640171821668;62;;;AMF;AMF;formulas_por_posicion.json
104336;F. Cardoso;AMF;;62,99452691528192;63;;;AMF;AMF;formulas_por_posicion.json
60355;F. Carrizo;AMF;;69,09272920765335;69;;;AMF;AMF;formulas_por_posicion.json
55727;F. Castañeda;AMF;;68,70092485261333;69;;;AMF;AMF;formulas_por_posicion.json
55795;F. Charrupí;AMF;;63,553301076966;64;;;AMF;AMF;formulas_por_posicion.json
105298;F. Cristaldo;AMF;;73,0585653825304;73;;;AMF;AMF;formulas_por_posicion.json
297025;F. Farías;AMF;;71,74482786578528;72;;;AMF;AMF;formulas_por_posicion.json
102042;F. Frías;AMF;;66,28314156634441;66;;;AMF;AMF;formulas_por_posicion.json
315542;F. González;AMF;;65,28597534529797;65;;;AMF;AMF;formulas_por_posicion.json
113831;F. González M.;AMF;;68,98228529223769;69;;;AMF;AMF;formulas_por_posicion.json
110518;F. Guch;AMF;;64,78106702098242;65;;;AMF;AMF;formulas_por_posicion.json
55963;F. Gulli;AMF;;67,75569360228297;68;;;AMF;AMF;formulas_por_posicion.json
118032;F. Lo Celso;AMF;;65,51628290322682;66;;;AMF;AMF;formulas_por_posicion.json
55851;F. Marchant;AMF;;67,99847211701606;68;;;AMF;AMF;formulas_por_posicion.json
61230;F. Mastantuono;AMF;;76,22292625692376;76;;;AMF;AMF;formulas_por_posicion.json
109188;F. Pérez;AMF;;69,91158569309567;70;;;AMF;AMF;formulas_por_posicion.json
45334;F. Vázquez;AMF;;74,46925376806293;74;;;AMF;AMF;formulas_por_posicion.json
110951;F. Watson;AMF;;71,06861111806985;71;;;AMF;AMF;formulas_por_posicion.json
113900;F. Wirtz;AMF;;87,81915149480844;88;;;AMF;AMF;formulas_por_posicion.json
105352;F. Álvarez;AMF;;68,58539809454383;69;;;AMF;AMF;formulas_por_posicion.json
118559;Fermín;AMF;;81,90424111046302;82;;;AMF;AMF;formulas_por_posicion.json
263072;Fernando;AMF;;67,02668457116212;67;;;AMF;AMF;formulas_por_posicion.json
110439;Fornals;AMF;;79,95492828213091;80;;;AMF;AMF;formulas_por_posicion.json
117661;Fábio Carvalho;AMF;;74,04315152787252;74;;;AMF;AMF;formulas_por_posicion.json
101762;G. Augusto;AMF;;73,3678098338562;73;;;AMF;AMF;formulas_por_posicion.json
117452;G. Baroni;AMF;;65,8087549767953;66;;;AMF;AMF;formulas_por_posicion.json
63382;G. Bernardeau;AMF;;67,14292641134804;67;;;AMF;AMF;formulas_por_posicion.json
112936;G. Bogado;AMF;;66,40383775527388;66;;;AMF;AMF;formulas_por_posicion.json
111023;G. Carabajal;AMF;;68,63000265070521;69;;;AMF;AMF;formulas_por_posicion.json
58236;G. Cortez;AMF;;69,49457450631927;69;;;AMF;AMF;formulas_por_posicion.json
114693;G. Earthy;AMF;;67,22730167542088;67;;;AMF;AMF;formulas_por_posicion.json
111962;G. Florentín;AMF;;69,44478862525332;69;;;AMF;AMF;formulas_por_posicion.json
100604;G. Gaetano;AMF;;74,09580133091856;74;;;AMF;AMF;formulas_por_posicion.json
114199;G. Hein;AMF;;75,15836081364205;75;;;AMF;AMF;formulas_por_posicion.json
108751;G. Lo Celso;AMF;;79,76195881614956;80;;;AMF;AMF;formulas_por_posicion.json
110892;G. Maroni;AMF;;70,76189719675821;71;;;AMF;AMF;formulas_por_posicion.json
104864;G. Martínez;AMF;;70,83253424659941;71;;;AMF;AMF;formulas_por_posicion.json
55752;G. Moreti;AMF;;79,34205204205729;79;;;AMF;AMF;formulas_por_posicion.json
43086;G. Oristanio;AMF;;73,52510800093184;74;;;AMF;AMF;formulas_por_posicion.json
118829;G. Piñeiro;AMF;;65,83012415943048;66;;;AMF;AMF;formulas_por_posicion.json
46303;Gabriel;AMF;;73,33955775482512;73;;;AMF;AMF;formulas_por_posicion.json
100265;Gabriel Mec;AMF;;65,18964608411706;65;;;AMF;AMF;formulas_por_posicion.json
42455;Ganso;AMF;;74,48771767671371;74;;;AMF;AMF;formulas_por_posicion.json
115653;Guridi;AMF;;73,89126967976803;74;;;AMF;AMF;formulas_por_posicion.json
117894;Gustavo;AMF;;67,79941582099;68;;;AMF;AMF;formulas_por_posicion.json
101544;Gustavo Scarpa;AMF;;73,02167672935244;73;;;AMF;AMF;formulas_por_posicion.json
109812;H. Abdelli;AMF;;74,94397675552631;75;;;AMF;AMF;formulas_por_posicion.json
375729;H. Abdulkareem;AMF;;61,27398209609943;61;;;AMF;AMF;formulas_por_posicion.json
106863;H. Elliot;AMF;;77,5894678463521;78;;;AMF;AMF;formulas_por_posicion.json
116710;H. Haraldsson;AMF;;77,09344266114078;77;;;AMF;AMF;formulas_por_posicion.json
114370;H. Jones;AMF;;60,346634304928656;60;;;AMF;AMF;formulas_por_posicion.json
118163;H. López;AMF;;62,1027028205815;62;;;AMF;AMF;formulas_por_posicion.json
118342;H. López Muñoz;AMF;;74,60286762196708;75;;;AMF;AMF;formulas_por_posicion.json
117497;H. Traorè;AMF;;75,25139505437498;75;;;AMF;AMF;formulas_por_posicion.json
101675;Hannibal;AMF;;72,68308146729213;73;;;AMF;AMF;formulas_por_posicion.json
104490;Hyoran;AMF;;67,06059687165362;67;;;AMF;AMF;formulas_por_posicion.json
102547;I. Guerti;AMF;;58,25340526248241;58;;;AMF;AMF;formulas_por_posicion.json
34797;I. Malcorra;AMF;;73,12410583283156;73;;;AMF;AMF;formulas_por_posicion.json
106732;I. Maza;AMF;;75,61120311503281;76;;;AMF;AMF;formulas_por_posicion.json
61080;I. Rossi;AMF;;62,29641908162781;62;;;AMF;AMF;formulas_por_posicion.json
114201;I. Sarr;AMF;;78,48477404302447;78;;;AMF;AMF;formulas_por_posicion.json
100262;I. Tapia;AMF;;67,361623852706;67;;;AMF;AMF;formulas_por_posicion.json
105309;I. Tapia;AMF;;65,39569224427566;65;;;AMF;AMF;formulas_por_posicion.json
58341;I. Vásquez;AMF;;64,9793528607542;65;;;AMF;AMF;formulas_por_posicion.json
42582;Iker Losada;AMF;;72,37551627032369;72;;;AMF;AMF;formulas_por_posicion.json
42556;Isco;AMF;;84,85492561010332;85;;;AMF;AMF;formulas_por_posicion.json
114752;Iván Martín;AMF;;76,77954122462988;77;;;AMF;AMF;formulas_por_posicion.json
114897;J. Altamirano;AMF;;71,52028003666854;72;;;AMF;AMF;formulas_por_posicion.json
108634;J. Barrera;AMF;;70,86771101882526;71;;;AMF;AMF;formulas_por_posicion.json
101291;J. Bellingham;AMF;;85,6461402753955;86;;;AMF;AMF;formulas_por_posicion.json
60928;J. Brandt;AMF;;81,33829258113704;81;;;AMF;AMF;formulas_por_posicion.json
103966;J. Carrascal;AMF;;78,6743270279968;79;;;AMF;AMF;formulas_por_posicion.json
57637;J. Castellanos;AMF;;67,21021086631404;67;;;AMF;AMF;formulas_por_posicion.json
54399;J. Cazares;AMF;;73,40169871782552;73;;;AMF;AMF;formulas_por_posicion.json
122727;J. Ekkelenkamp;AMF;;72,38044182717542;72;;;AMF;AMF;formulas_por_posicion.json
56136;J. García;AMF;;63,49396301761378;63;;;AMF;AMF;formulas_por_posicion.json
58120;J. García;AMF;;67,89446847711957;68;;;AMF;AMF;formulas_por_posicion.json
114881;J. Hofmann;AMF;;74,72109640518747;75;;;AMF;AMF;formulas_por_posicion.json
111173;J. Jhon;AMF;;72,1340710868173;72;;;AMF;AMF;formulas_por_posicion.json
60743;J. King;AMF;;71,01195826505753;71;;;AMF;AMF;formulas_por_posicion.json
114845;J. Kluivert;AMF;;77,24978508964736;77;;;AMF;AMF;formulas_por_posicion.json
61181;J. Lingard;AMF;;73,10121279476641;73;;;AMF;AMF;formulas_por_posicion.json
100275;J. Lucco;AMF;;63,345491945765225;63;;;AMF;AMF;formulas_por_posicion.json
111319;J. Lázaro;AMF;;66,25837179836176;66;;;AMF;AMF;formulas_por_posicion.json
55800;J. López;AMF;;63,29753057173751;63;;;AMF;AMF;formulas_por_posicion.json
114036;J. Maddison;AMF;;83,32674430041493;83;;;AMF;AMF;formulas_por_posicion.json
55843;J. Maraude;AMF;;63,880332403104866;64;;;AMF;AMF;formulas_por_posicion.json
60252;J. Mavilla;AMF;;67,57854237273058;68;;;AMF;AMF;formulas_por_posicion.json
114907;J. McAtee;AMF;;71,91833539097132;72;;;AMF;AMF;formulas_por_posicion.json
60977;J. Meza;AMF;;71,84190374412663;72;;;AMF;AMF;formulas_por_posicion.json
114883;J. Musiala;AMF;;86,97170022689028;87;;;AMF;AMF;formulas_por_posicion.json
59393;J. Pérez;AMF;;64,09955675607208;64;;;AMF;AMF;formulas_por_posicion.json
305909;J. Pérez;AMF;;67,17762630701095;67;;;AMF;AMF;formulas_por_posicion.json
45685;J. Quintero;AMF;;78,08658729903226;78;;;AMF;AMF;formulas_por_posicion.json
114184;J. Ramírez;AMF;;66,39727176223569;66;;;AMF;AMF;formulas_por_posicion.json
116208;J. Recalde;AMF;;69,09772766815445;69;;;AMF;AMF;formulas_por_posicion.json
58295;J. Rengifo;AMF;;69,47969781287154;69;;;AMF;AMF;formulas_por_posicion.json
