player_id;jugador;posicion;media_real;media_predicha_decimal;media_predicha;error;error_decimal
56136;J. García;AMF;63,0;63,493963017613765;63;0,0;0,4939630176137655
57335;Y. Guzmán;AMF;72,0;71,60947374508919;72;0,0;0,39052625491081017
57637;J. Castellanos;AMF;67,0;67,21021086631403;67;0,0;0,21021086631402852
57674;A. Dos Santos;AMF;64,0;63,56100595919535;64;0,0;0,4389940408046513
57680;J. Torres;AMF;69,0;69,0306663730128;69;0,0;0,030666373012806503
57908;Y. Ochoa;AMF;62,0;61,664731365333964;62;0,0;0,3352686346660363
57914;J. Vélez;AMF;69,0;69,33536441993408;69;0,0;0,3353644199340806
57954;A. Fariña;AMF;66,0;66,08107677700828;66;0,0;0,08107677700827765
57987;M. Miljevic;AMF;75,0;74,80272934832037;75;0,0;0,19727065167963076
58033;L. Millán;AMF;69,0;69,07938340233342;69;0,0;0,0793834023334199
58075;M. Pereyra;AMF;69,0;68,64187052447316;69;0,0;0,3581294755268374
58080;M. Bergara;AMF;63,0;63,026171461875876;63;0,0;0,026171461875875934
58099;C. Alemán;AMF;68,0;68,19319670649647;68;0,0;0,19319670649646525
58106;Y. Del Valle;AMF;63,0;63,43948011577785;63;0,0;0,4394801157778474
58120;J. García;AMF;68,0;67,89446847711957;68;0,0;0,10553152288042611
58169;T. Lavezzi;AMF;59,0;58,802966748906144;59;0,0;0,19703325109385617
58174;S. Segovia;AMF;63,0;63,048905466978;63;0,0;0,04890546697799891
58236;G. Cortez;AMF;69,0;69,49457450631927;69;0,0;0,49457450631926747
58250;J. Valiente;AMF;69,0;69,20429422987472;69;0,0;0,20429422987471924
58293;R. Rodrigues;AMF;66,0;65,92782187734879;66;0,0;0,07217812265120926
58295;J. Rengifo;AMF;69,0;69,47969781287152;69;0,0;0,479697812871521
58317;A. Cantero;AMF;71,0;70,57630569657614;71;0,0;0,42369430342385783
58337;T. Muro;AMF;65,0;64,92769904525292;65;0,0;0,0723009547470781
58341;I. Vásquez;AMF;65,0;64,97935286075419;65;0,0;0,020647139245809853
58342;L. Sanabria;AMF;67,0;67,27674993851807;67;0,0;0,2767499385180656
58345;C. Sosa;AMF;67,0;67,35954436609491;67;0,0;0,3595443660949087
59206;M. Smarra;AMF;60,0;60,120505628840995;60;0,0;0,12050562884099492
59267;M. Arias;AMF;64,0;64,28746682076444;64;0,0;0,2874668207644362
