position;model_type;model_name;n_train;n_test;mae;rmse;pct_error_le_1;pct_error_le_2;pct_integer_exact;pct_integer_error_le_1;pct_integer_error_le_2;selected_for_prediction
RB;anchored_formula;AnchorExtraTrees;807;202;2,3417399752475254;2,413605344477269;0,9900990099009901;28,217821782178216;0,0;8,415841584158416;59,900990099009896;False
RB;anchored_formula;AnchorRandomForest;807;202;2,375778121562156;2,4489440192320457;0,9900990099009901;28,217821782178216;0,0;7,425742574257425;56,43564356435643;False
RB;anchored_formula;AnchorHistGradient;807;202;2,2073262428247276;2,27945457756684;0,49504950495049505;36,633663366336634;0,0;10,891089108910892;69,80198019801979;False
RB;anchored_formula;AnchorGradientBoosting;807;202;1,901066604925099;1,9903888928480542;7,920792079207921;57,42574257425742;0,49504950495049505;26,732673267326735;83,16831683168317;False
DMF;anchored_formula;AnchorCurve;841;211;2,575414691943128;2,884188194838618;14,691943127962084;35,54502369668246;3,3175355450236967;25,118483412322274;45,023696682464454;False
DMF;anchored_formula;AnchorLinearRegression;841;211;0,9745963979014174;1,3125213202108477;68,24644549763033;87,20379146919431;36,96682464454976;81,51658767772511;91,9431279620853;True
DMF;anchored_formula;AnchorRidge;841;211;0,9746911487255;1,3111083610935617;68,72037914691943;87,20379146919431;34,12322274881517;81,04265402843602;92,41706161137441;False
DMF;anchored_formula;AnchorLasso;841;211;0,9743087285434509;1,3084849753745516;67,29857819905213;87,20379146919431;35,07109004739337;81,04265402843602;92,41706161137441;False
DMF;anchored_formula;AnchorElasticNet;841;211;0,9745242013466852;1,309736702002687;68,24644549763033;88,15165876777252;35,07109004739337;81,04265402843602;92,41706161137441;False
DMF;anchored_formula;AnchorExtraTrees;841;211;2,4555438981042643;2,6137567090637557;5,687203791469194;28,436018957345972;2,843601895734597;15,165876777251185;54,02843601895735;False
DMF;anchored_formula;AnchorRandomForest;841;211;2,4885647709320686;2,649639724846497;5,687203791469194;28,436018957345972;1,8957345971563981;13,744075829383887;48,34123222748815;False
DMF;anchored_formula;AnchorHistGradient;841;211;3,082323149059307;3,221163572663029;2,3696682464454977;11,374407582938389;0,9478672985781991;5,213270142180095;24,170616113744074;False
