2026-06-01 00:27:04,096 | INFO | __main__ | Modelo PES-like SS guardado (Ridge, MAE train 0.399)
2026-06-01 00:27:04,246 | INFO | __main__ | Modelo PES-like CF guardado (Ridge, MAE train 0.380)
2026-06-01 00:27:04,359 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-04 21:24:11,428 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve, weak_foot_usage, weak_foot_accuracy, injury_resistance
2026-06-04 21:24:13,499 | INFO | __main__ | Modelo PES-like GK guardado (Ridge, MAE train 0.230)
2026-06-04 21:24:15,591 | INFO | __main__ | Modelo PES-like CB guardado (Ridge, MAE train 0.590)
2026-06-04 21:24:16,205 | INFO | __main__ | Modelo PES-like LB guardado (Ridge, MAE train 0.433)
2026-06-04 21:24:17,414 | INFO | __main__ | Modelo PES-like RB guardado (Ridge, MAE train 0.367)
2026-06-04 21:24:18,727 | INFO | __main__ | Modelo PES-like DMF guardado (Ridge, MAE train 0.429)
2026-06-04 21:24:19,568 | INFO | __main__ | Modelo PES-like CMF guardado (Ridge, MAE train 0.417)
2026-06-04 21:24:20,448 | INFO | __main__ | Modelo PES-like LMF guardado (Ridge, MAE train 0.361)
2026-06-04 21:24:21,264 | INFO | __main__ | Modelo PES-like RMF guardado (Ridge, MAE train 0.408)
2026-06-04 21:24:21,931 | INFO | __main__ | Modelo PES-like AMF guardado (Ridge, MAE train 0.441)
2026-06-04 21:24:22,939 | INFO | __main__ | Modelo PES-like LWF guardado (Ridge, MAE train 0.609)
2026-06-04 21:24:24,005 | INFO | __main__ | Modelo PES-like RWF guardado (Ridge, MAE train 0.564)
2026-06-04 21:24:24,433 | INFO | __main__ | Modelo PES-like SS guardado (Ridge, MAE train 0.533)
2026-06-04 21:24:26,199 | INFO | __main__ | Modelo PES-like CF guardado (Ridge, MAE train 0.550)
2026-06-04 21:24:26,282 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-23 22:27:26,401 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve, weak_foot_usage, weak_foot_accuracy, injury_resistance
2026-06-23 22:27:28,437 | INFO | __main__ | Modelo PES-like GK guardado (Ridge, MAE train 0.230)
2026-06-23 22:27:30,580 | INFO | __main__ | Modelo PES-like CB guardado (Ridge, MAE train 0.590)
2026-06-23 22:27:31,171 | INFO | __main__ | Modelo PES-like LB guardado (Ridge, MAE train 0.433)
2026-06-23 22:27:32,745 | INFO | __main__ | Modelo PES-like RB guardado (Ridge, MAE train 0.367)
2026-06-23 22:27:34,211 | INFO | __main__ | Modelo PES-like DMF guardado (Ridge, MAE train 0.429)
2026-06-23 22:27:35,109 | INFO | __main__ | Modelo PES-like CMF guardado (Ridge, MAE train 0.417)
2026-06-23 22:27:36,121 | INFO | __main__ | Modelo PES-like LMF guardado (Ridge, MAE train 0.361)
2026-06-23 22:27:36,986 | INFO | __main__ | Modelo PES-like RMF guardado (Ridge, MAE train 0.408)
2026-06-23 22:27:37,715 | INFO | __main__ | Modelo PES-like AMF guardado (Ridge, MAE train 0.441)
2026-06-23 22:27:38,807 | INFO | __main__ | Modelo PES-like LWF guardado (Ridge, MAE train 0.609)
2026-06-23 22:27:39,753 | INFO | __main__ | Modelo PES-like RWF guardado (Ridge, MAE train 0.564)
2026-06-23 22:27:40,202 | INFO | __main__ | Modelo PES-like SS guardado (Ridge, MAE train 0.533)
2026-06-23 22:27:41,896 | INFO | __main__ | Modelo PES-like CF guardado (Ridge, MAE train 0.550)
2026-06-23 22:27:42,010 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-23 22:30:29,592 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-23 22:38:30,903 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-23 22:38:31,027 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-23 22:38:31,982 | INFO | __main__ | Modelo PES-like GK guardado (Ridge, MAE train 0.270)
2026-06-23 22:38:32,982 | INFO | __main__ | Modelo PES-like CB guardado (Ridge, MAE train 0.422)
2026-06-23 22:38:34,077 | INFO | __main__ | Modelo PES-like LB guardado (Ridge, MAE train 0.385)
2026-06-23 22:38:35,397 | INFO | __main__ | Modelo PES-like RB guardado (Ridge, MAE train 0.348)
2026-06-23 22:38:36,732 | INFO | __main__ | Modelo PES-like DMF guardado (Ridge, MAE train 0.511)
